post_id,post_type,post_content,likes_count,comments_count,shares_count,post_date,followers_count,reach,post_duration,hashtags,post_link,platform,post_impressions
P0001,video,Check out our new video on #funny #viral! Share your thoughts in the comments.,312,380,180,2024-02-02,1063,8719,25,#funny #viral,https://owens.info/,Instagram,4831
P0002,poll,Vote now in our poll! What are your thoughts on #food?,580,98,105,2024-04-01,1106,9122,46,#food #delicious,https://wilson.com/,Facebook,8893
P0003,reels,Watch this exciting reel about #innovation! Don't miss it.,41,224,197,2024-08-09,1210,776,0,#technology #innovation,http://edwards.com/,Instagram,5054
P0004,video,Check out our new video on #travel #adventure! Share your thoughts in the comments.,319,216,156,2024-11-22,2768,4688,0,#travel #adventure,https://www.johnson-miller.com/,Instagram,7713
P0005,infographic,Learn all about #health with this infographic!,426,481,15,2024-05-20,2248,2848,65,#fitness #health,https://www.anderson.com/,Facebook,13766
P0006,static image,Here's a snapshot to brighten your day! #productivity #work,888,97,222,2024-04-16,2406,5907,58,#productivity #work,https://west.com/,Facebook,14200
P0007,story,Catch our latest story updates on #productivity #work before they disappear!,964,222,17,2024-03-04,3346,2212,0,#productivity #work,http://colon.info/,Facebook,13216
P0008,reels,Watch this exciting reel about #innovation! Don't miss it.,364,488,220,2024-11-02,2371,8733,78,#technology #innovation,http://hanson-finley.net/,Facebook,13259
P0009,video,Check out our new video on #food #delicious! Share your thoughts in the comments.,89,298,62,2024-10-18,4033,9191,36,#food #delicious,http://www.patel.info/,Facebook,18859
P0010,carousel,Swipe through our latest updates on #fitness!,556,343,254,2024-12-02,719,1343,0,#fitness #health,https://miller-perry.net/,Instagram,17918
P0011,carousel,Swipe through our latest updates on #food!,73,52,91,2024-03-03,1657,1355,0,#food #delicious,http://hanson-palmer.org/,Facebook,6449
P0012,poll,Vote now in our poll! What are your thoughts on #food?,83,478,178,2024-01-04,4852,9586,0,#food #delicious,https://bryant.biz/,Facebook,16024
P0013,carousel,Swipe through our latest updates on #productivity!,624,494,39,2024-01-22,4863,6211,0,#productivity #work,http://sharp.com/,Instagram,14360
P0014,infographic,Learn all about #delicious with this infographic!,452,422,206,2024-02-20,253,9439,0,#food #delicious,https://martinez-wall.com/,Instagram,2445
P0015,infographic,Learn all about #viral with this infographic!,747,472,51,2024-11-11,2158,7774,0,#funny #viral,https://patrick.com/,Instagram,11387
P0016,story,Catch our latest story updates on #travel #adventure before they disappear!,435,457,43,2024-09-16,1183,2473,0,#travel #adventure,http://trujillo.com/,Instagram,1431
P0017,story,Catch our latest story updates on #productivity #work before they disappear!,586,240,126,2024-04-16,588,1688,0,#productivity #work,http://moody-castaneda.org/,Instagram,12530
P0018,story,Catch our latest story updates on #technology #innovation before they disappear!,735,443,284,2024-10-13,3915,4353,0,#technology #innovation,http://baker.info/,Facebook,19510
P0019,poll,Vote now in our poll! What are your thoughts on #technology?,368,443,110,2024-10-06,4447,9892,16,#technology #innovation,https://figueroa-smith.com/,Instagram,7747
P0020,reels,Watch this exciting reel about #success! Don't miss it.,544,320,225,2024-11-19,4572,4960,81,#motivation #success,http://www.collins.com/,Facebook,13124
P0021,carousel,Swipe through our latest updates on #food!,112,2,277,2024-05-25,1294,9607,73,#food #delicious,https://www.kane.net/,Facebook,14127
P0022,static image,Here's a snapshot to brighten your day! #travel #adventure,899,120,203,2024-11-08,705,7957,106,#travel #adventure,http://smith-aguilar.com/,Instagram,19703
P0023,static image,Here's a snapshot to brighten your day! #fitness #health,145,250,252,2024-11-06,4547,1496,74,#fitness #health,http://www.wilson-hoover.com/,Instagram,14922
P0024,carousel,Swipe through our latest updates on #travel!,52,244,190,2024-01-21,3097,7338,35,#travel #adventure,http://www.baker.net/,Facebook,13752
P0025,infographic,Learn all about #adventure with this infographic!,320,307,133,2024-01-18,453,9378,90,#travel #adventure,https://doyle.org/,Instagram,6243
P0026,story,Catch our latest story updates on #fitness #health before they disappear!,905,459,78,2024-07-29,4946,6162,26,#fitness #health,http://holland.com/,Facebook,10641
P0027,static image,Here's a snapshot to brighten your day! #food #delicious,622,291,188,2024-01-26,705,5123,63,#food #delicious,https://www.mullins.com/,Facebook,5842
P0028,story,Catch our latest story updates on #travel #adventure before they disappear!,292,126,114,2024-08-18,3957,9792,0,#travel #adventure,https://www.garcia.org/,Instagram,17720
P0029,static image,Here's a snapshot to brighten your day! #technology #innovation,603,82,169,2024-11-14,2649,5555,0,#technology #innovation,https://carter.org/,Facebook,3775
P0030,story,Catch our latest story updates on #fashion #style before they disappear!,991,127,218,2024-03-11,4660,2196,51,#fashion #style,http://www.ruiz.org/,Instagram,18486
P0031,infographic,Learn all about #delicious with this infographic!,578,399,223,2024-07-30,1897,9454,0,#food #delicious,https://harris-hurley.com/,Instagram,484
P0032,video,Check out our new video on #food #delicious! Share your thoughts in the comments.,344,9,63,2024-06-05,3407,9889,0,#food #delicious,https://www.gonzales.info/,Facebook,5151
P0033,poll,Vote now in our poll! What are your thoughts on #fashion?,840,450,152,2024-04-08,2614,4047,0,#fashion #style,http://www.aguilar-short.com/,Instagram,6898
P0034,poll,Vote now in our poll! What are your thoughts on #productivity?,351,89,195,2024-03-13,4862,4409,0,#productivity #work,https://www.evans.com/,Instagram,8816
P0035,video,Check out our new video on #fitness #health! Share your thoughts in the comments.,362,363,179,2024-08-19,626,5328,113,#fitness #health,http://www.gomez.net/,Facebook,12834
P0036,infographic,Learn all about #adventure with this infographic!,378,114,151,2024-02-15,4006,3330,0,#travel #adventure,http://www.bird-elliott.com/,Facebook,17597
P0037,reels,Watch this exciting reel about #delicious! Don't miss it.,280,32,149,2024-05-06,3290,2277,0,#food #delicious,https://cummings.com/,Instagram,13040
P0038,poll,Vote now in our poll! What are your thoughts on #food?,610,309,198,2024-02-26,1778,8144,28,#food #delicious,https://www.welch.org/,Instagram,16119
P0039,reels,Watch this exciting reel about #adventure! Don't miss it.,797,125,96,2024-10-07,256,1446,40,#travel #adventure,https://johnson-walker.com/,Facebook,7485
P0040,static image,Here's a snapshot to brighten your day! #travel #adventure,235,402,57,2024-01-08,1316,4589,115,#travel #adventure,https://gallagher-leonard.biz/,Instagram,2415
P0041,carousel,Swipe through our latest updates on #funny!,174,244,33,2024-05-14,4020,6581,97,#funny #viral,https://www.johnson-berry.org/,Instagram,13833
P0042,static image,Here's a snapshot to brighten your day! #fashion #style,927,39,138,2024-11-21,1367,7186,0,#fashion #style,http://www.miller.com/,Instagram,12671
P0043,poll,Vote now in our poll! What are your thoughts on #motivation?,332,105,132,2024-06-05,1860,3853,52,#motivation #success,http://reed-boyd.com/,Facebook,130
P0044,carousel,Swipe through our latest updates on #motivation!,608,310,98,2024-02-19,4793,7170,0,#motivation #success,http://www.porter.org/,Facebook,8248
P0045,story,Catch our latest story updates on #fashion #style before they disappear!,506,372,235,2024-08-15,3019,953,0,#fashion #style,http://wagner.net/,Facebook,8367
P0046,video,Check out our new video on #technology #innovation! Share your thoughts in the comments.,215,320,108,2024-12-03,1741,8248,31,#technology #innovation,http://roberts.org/,Instagram,1796
P0047,story,Catch our latest story updates on #fashion #style before they disappear!,197,259,13,2024-09-12,686,2492,71,#fashion #style,https://mclaughlin.com/,Facebook,13749
P0048,infographic,Learn all about #work with this infographic!,49,467,270,2024-03-09,2136,4809,0,#productivity #work,https://ballard.com/,Facebook,737
P0049,infographic,Learn all about #viral with this infographic!,194,346,253,2024-06-02,3408,4660,0,#funny #viral,http://evans.com/,Instagram,12553
P0050,video,Check out our new video on #food #delicious! Share your thoughts in the comments.,123,193,17,2024-07-22,463,5192,0,#food #delicious,https://www.welch.com/,Facebook,9384
P0051,video,Check out our new video on #food #delicious! Share your thoughts in the comments.,71,264,257,2024-08-07,3761,3908,29,#food #delicious,http://www.sosa.com/,Instagram,8713
P0052,poll,Vote now in our poll! What are your thoughts on #technology?,861,499,4,2024-06-07,4103,8216,0,#technology #innovation,http://holt-salazar.com/,Facebook,8647
P0053,infographic,Learn all about #adventure with this infographic!,462,387,233,2024-03-16,4077,8188,0,#travel #adventure,http://allen-saunders.com/,Instagram,9423
P0054,poll,Vote now in our poll! What are your thoughts on #technology?,275,16,112,2024-03-27,1387,2158,0,#technology #innovation,http://patterson.com/,Instagram,17987
P0055,reels,Watch this exciting reel about #innovation! Don't miss it.,625,5,267,2024-12-26,2944,9031,0,#technology #innovation,http://holder-hardin.info/,Facebook,16176
P0056,poll,Vote now in our poll! What are your thoughts on #technology?,384,21,68,2024-02-06,2023,9241,53,#technology #innovation,http://kramer.com/,Facebook,12496
P0057,carousel,Swipe through our latest updates on #productivity!,383,92,137,2024-06-02,781,2866,0,#productivity #work,http://www.howe.net/,Facebook,4115
P0058,video,Check out our new video on #food #delicious! Share your thoughts in the comments.,593,383,83,2024-07-29,396,6930,46,#food #delicious,https://www.mclaughlin-obrien.biz/,Instagram,12695
P0059,static image,Here's a snapshot to brighten your day! #technology #innovation,480,44,175,2024-12-22,1577,1595,93,#technology #innovation,https://www.donaldson-flores.net/,Facebook,5502
P0060,carousel,Swipe through our latest updates on #fitness!,820,313,140,2024-08-23,1296,3695,0,#fitness #health,http://www.brown-frazier.com/,Instagram,14612
P0061,static image,Here's a snapshot to brighten your day! #travel #adventure,844,147,246,2024-12-29,4255,6988,40,#travel #adventure,http://gonzalez.com/,Instagram,1564
P0062,infographic,Learn all about #innovation with this infographic!,799,272,39,2024-01-29,4436,9860,86,#technology #innovation,https://herrera-mays.com/,Instagram,14723
P0063,poll,Vote now in our poll! What are your thoughts on #motivation?,733,358,98,2024-10-29,4913,4945,0,#motivation #success,http://www.chan-miller.com/,Facebook,18254
P0064,reels,Watch this exciting reel about #delicious! Don't miss it.,534,61,114,2024-04-10,4717,9342,0,#food #delicious,https://www.harmon.info/,Instagram,17941
P0065,story,Catch our latest story updates on #technology #innovation before they disappear!,859,56,233,2024-03-24,4667,2947,0,#technology #innovation,http://www.lopez.com/,Instagram,18622
P0066,video,Check out our new video on #productivity #work! Share your thoughts in the comments.,325,352,220,2024-08-02,4524,3953,0,#productivity #work,http://murphy-schroeder.info/,Facebook,12248
P0067,story,Catch our latest story updates on #food #delicious before they disappear!,528,183,81,2024-03-16,2141,7967,56,#food #delicious,http://moss-flores.net/,Instagram,3938
P0068,reels,Watch this exciting reel about #health! Don't miss it.,866,139,164,2024-07-27,810,9197,0,#fitness #health,https://www.ball.com/,Instagram,2169
P0069,story,Catch our latest story updates on #funny #viral before they disappear!,551,226,205,2024-06-07,1702,1217,116,#funny #viral,https://miranda.com/,Facebook,18131
P0070,infographic,Learn all about #health with this infographic!,525,67,200,2024-01-30,2675,6247,0,#fitness #health,https://sanders.info/,Instagram,1327
P0071,video,Check out our new video on #food #delicious! Share your thoughts in the comments.,177,189,120,2024-05-16,4403,6677,0,#food #delicious,https://spencer-jensen.com/,Instagram,4008
P0072,infographic,Learn all about #health with this infographic!,927,82,198,2024-08-31,2473,5458,0,#fitness #health,http://www.nguyen.com/,Facebook,10340
P0073,poll,Vote now in our poll! What are your thoughts on #funny?,459,240,234,2024-12-14,1381,354,114,#funny #viral,https://roberts.net/,Instagram,6808
P0074,video,Check out our new video on #technology #innovation! Share your thoughts in the comments.,742,102,263,2024-04-02,1977,2779,93,#technology #innovation,http://www.park.info/,Instagram,8887
P0075,carousel,Swipe through our latest updates on #food!,782,185,107,2024-04-14,3071,774,0,#food #delicious,http://choi.com/,Instagram,9337
P0076,story,Catch our latest story updates on #travel #adventure before they disappear!,917,93,173,2024-07-05,4103,6495,0,#travel #adventure,http://mathis.biz/,Instagram,6192
P0077,story,Catch our latest story updates on #food #delicious before they disappear!,796,72,99,2024-03-01,779,2197,72,#food #delicious,http://www.bernard.com/,Facebook,6848
P0078,story,Catch our latest story updates on #fashion #style before they disappear!,346,87,75,2024-05-09,274,6136,103,#fashion #style,http://sanchez.com/,Facebook,1310
P0079,story,Catch our latest story updates on #technology #innovation before they disappear!,202,226,123,2024-01-11,3830,6242,0,#technology #innovation,http://www.fuentes.info/,Facebook,12369
